GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
history,com.history.history.service,HistoryService,16,3,0,0,4,1,3,1,3,1
history,com.history.history,HistoryApplication,5,3,0,0,2,1,1,1,1,1
history,com.history.history.model,HistoryModel,210,0,38,0,12,0,33,0,14,0
history,com.history.history.controller,HistoryController,40,3,4,0,11,1,6,1,4,1
